A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,Class
-0.848174,-0.930606,0.011666,0.011642,-0.417946,-0.357352,-0.167443,-0.48171,0.953706,0.100288,-0.786462,1.50851,-1.50851,-0.175006,-0.165623,-0.026742,1.158551,-0.506407,1.182309,0.613342,-1.306792,-0.333975,0.260085,-0.162905,-0.53126,0.573813,-1.036895,2
-1.09622,-1.18774,-0.143893,-0.143917,-0.426794,-0.372264,-0.172229,-0.49466,0.62921,-0.343886,-0.786462,1.50851,-1.50851,-0.175006,-0.768361,0.2389,1.368952,-0.554718,1.368727,0.535016,-1.306792,-0.582176,0.101973,-1.760419,-0.409125,0.045826,-1.292502,2
0.297349,0.227633,-0.590105,-0.590123,-0.414918,-0.331256,-0.15787,-0.483947,0.088383,-1.06567,-0.802011,1.50851,-1.50851,-0.175006,2.266908,0.909113,1.483863,-0.48884,0.18629,0.714608,0.962991,-0.270715,0.305389,0.040863,-0.048825,-0.629247,-0.659102,2
-1.199948,-1.269659,-0.875889,-0.875818,-0.070759,0.116109,0.213076,-0.129635,-0.164004,-0.788061,-0.81756,1.50851,-1.50851,-0.175006,-1.019874,1.051857,-1.806481,-0.392218,-2.072633,0.946231,0.962991,1.089137,0.526022,1.711139,1.861185,-0.77564,1.455624,2
-0.800819,-0.83731,-0.506815,-0.506799,-0.222581,0.01918,0.026407,-0.238517,0.62921,0.15581,-0.802011,1.50851,-1.50851,-0.175006,-0.048796,1.664056,-0.475292,-0.181409,-1.430228,-0.087123,0.962991,0.81863,0.842095,1.135564,1.088443,0.336531,1.455624,2
1.562384,1.485995,-0.514521,-0.514542,-0.42889,-0.375992,-0.167443,-0.496958,0.737375,-0.288364,-0.786462,1.50851,-1.50851,0.425854,-0.757572,-0.253455,0.05071,-0.6184,0.115657,0.613342,0.962991,-2.486701,-1.343071,-0.162905,0.783105,0.130471,-1.391163,2
-1.109749,-1.205944,0.207028,0.207002,-0.42563,-0.37972,-0.172229,-0.497591,-0.344279,-1.620888,-0.802011,1.50851,-1.50851,-0.175006,-0.800731,-0.617568,1.001155,-0.587657,1.29407,1.04358,0.962991,-0.541812,-1.326595,-0.224574,0.231382,-1.385496,-1.335337,2
-1.287892,-1.369782,0.613734,0.613706,-0.415151,-0.34244,-0.148297,-0.495927,-1.570155,-3.342063,-0.802011,1.50851,-1.50851,-0.175006,-1.234181,0.058752,0.725206,-0.473468,0.847024,-1.354339,-1.306792,-0.275318,0.347673,-0.162905,-0.782812,-2.939621,-0.917518,2
-1.281127,-1.372057,-0.817009,-0.817011,-0.372539,-0.286519,-0.09804,-0.460419,-1.353824,-1.954018,-0.802011,1.50851,-1.50851,-0.175006,-1.21781,0.019058,-1.15343,-0.539346,-1.196423,1.04358,0.962991,0.223916,0.159056,0.724765,1.482095,-2.221532,0.729883,2
-1.220243,-1.317445,-0.786646,-0.786663,-0.428424,-0.353624,-0.162656,-0.496946,0.448934,0.100288,-0.81756,1.50851,-1.50851,-0.175006,-1.069358,1.199945,0.291862,-0.587657,-0.362682,0.670409,0.962991,-0.64461,-1.326595,-0.053761,0.643119,-0.092935,-1.227196,2
-1.211223,-1.296965,0.225036,0.225019,-0.395126,-0.275335,-0.129151,-0.464146,0.052327,-1.176713,-0.81756,1.50851,-1.50851,-0.175006,-1.047407,0.493092,-0.211482,-0.506407,-1.082427,0.657541,0.962991,0.018793,0.260085,0.411691,0.935304,-0.76107,0.134052,2
-1.028571,-1.096719,-0.015995,-0.016014,-0.401646,-0.293975,-0.131545,-0.463025,0.737375,-0.177321,-0.802011,1.50851,-1.50851,-0.175006,-0.603167,1.546502,1.736749,-0.392218,0.115657,-0.355113,-0.1719,-0.059809,0.526022,0.233537,-0.195622,0.256049,0.458827,2
-1.09622,-1.176362,0.212851,0.212832,-0.378593,-0.312616,-0.138724,-0.44625,-0.019783,-0.677017,-0.802011,1.50851,-1.50851,-0.175006,-0.767617,-1.087785,0.505095,-0.473468,-0.174923,0.595999,0.962991,0.176471,0.347673,0.297979,0.519104,-0.696546,0.078928,2
-1.287892,-1.367506,-0.057656,-0.057634,-0.201158,-0.148582,0.02162,-0.33343,-1.281714,-2.564758,-0.81756,1.50851,-1.50851,-0.175006,-1.234181,-0.610698,-1.553596,-0.455901,-1.673868,0.982597,0.962991,0.866547,0.387541,-1.603963,1.714387,-2.245815,1.454922,2
-0.77827,-0.839586,-0.491219,-0.491196,-0.209308,-0.156038,0.016834,-0.236369,0.376824,0.15581,-0.81756,1.50851,-1.50851,-0.175006,0.007757,0.719041,-1.251752,-0.359279,-1.260351,0.919376,0.962991,0.848844,0.585672,1.248786,1.53917,0.019462,1.455624,2
-0.909058,-0.994321,-0.386935,-0.386923,-0.315257,-0.159766,-0.03103,-0.347493,0.917651,0.266854,-0.81756,1.50851,-1.50851,-0.175006,-0.310727,-0.123687,-1.547122,-0.521779,-1.887109,0.963575,0.962991,0.535613,0.211458,1.076506,1.710629,0.616135,1.390318,2
-1.071415,-1.014801,-0.526794,-0.526774,0.11925,0.444176,0.203503,0.235146,1.133982,0.544463,-0.786462,-1.00697,1.00697,-0.775865,-0.708088,1.560242,1.395657,0.497136,-1.258563,-1.787374,0.962991,1.301459,1.369589,1.207348,0.002378,0.756977,1.455624,3
-1.199948,-0.916953,0.773077,0.77308,1.088856,0.604482,0.138887,1.187667,-1.60621,-0.621495,-0.802011,-1.00697,1.00697,-0.775865,-1.020246,0.280884,-0.745981,2.117737,0.142033,-1.852833,-1.306792,1.81639,1.920339,1.066064,-1.63682,-0.373233,1.455624,3
-1.199948,-0.998872,0.52766,0.527672,0.893491,0.794612,0.246581,1.023256,-1.570155,0.266854,-0.459936,-1.00697,1.00697,-0.775865,-1.026943,0.6137,0.031693,1.463348,-0.80347,-2.114668,-1.306792,1.746285,1.770231,1.190054,-1.185389,-0.172723,1.455624,3
-1.179653,-1.003423,-0.727606,-0.727604,0.486927,0.201854,0.038373,0.51255,-1.570155,-0.232843,-0.755364,-1.00697,1.00697,-0.775865,-0.971879,-0.441236,-0.803841,1.346963,0.744651,-1.838846,-1.306792,1.560046,1.716621,0.819226,-1.670407,-0.409311,1.455624,3
-1.199948,-0.973841,-0.486289,-0.486282,0.913517,0.373344,0.114955,0.973502,-1.281714,-0.343886,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,-0.429023,-0.701473,1.709293,0.454965,-1.988786,-1.306792,1.753956,-1.141632,0.977314,-1.610984,-0.446776,1.455624,3
0.570199,0.487042,-0.412869,-0.412892,-0.428657,-0.383448,-0.179409,-0.489207,2.648299,2.820856,-0.561004,-1.00697,1.00697,-0.775865,1.743419,-1.849599,1.736749,-0.605224,1.244448,1.04358,-0.1719,-0.65417,-1.334312,-1.776227,-0.195622,3.21097,-1.459981,3
-1.199948,-0.92378,0.649371,0.649375,0.948911,0.701411,0.169999,1.032119,-1.5341,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,0.598433,-0.718871,2.065034,-0.15123,-2.08054,-1.306792,1.767175,-1.132722,1.066064,-1.621083,-0.373926,1.455624,3
-1.195438,-0.98977,-0.82908,-0.829076,0.540251,0.365888,0.079057,0.592007,-1.5341,-0.232843,-0.770913,-1.00697,1.00697,-0.775865,-1.009829,-0.058803,-0.884764,1.559969,0.293581,-2.139845,-1.306792,1.588725,1.779594,-1.64638,-1.717382,-0.302464,1.455624,3
-1.195438,-0.910127,0.30664,0.306646,0.958458,0.541106,0.095809,1.042182,-1.642265,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,0.660264,-0.754882,2.128716,0.349462,-1.457842,-1.306792,1.770716,-1.131212,1.066064,-1.641987,-0.376008,1.455624,3
-1.118769,-1.05576,0.539865,0.539888,0.208899,0.820709,0.296838,0.365282,1.061872,0.544463,-0.459936,-1.00697,1.00697,-0.775865,-0.835704,1.801457,0.855493,0.50592,-1.665822,-1.821502,0.962991,1.377583,1.394959,1.346347,0.315937,0.840234,1.455624,3
-1.195438,-0.930606,1.572086,1.572078,0.847386,0.656675,0.172392,0.9373,-1.498045,-0.232843,-0.802011,-1.00697,1.00697,-0.775865,-1.009085,0.137376,-0.912683,1.988176,-0.121725,-2.457628,-1.306792,-2.24747,1.889834,0.953331,-1.733589,-0.303158,1.455624,3
-1.195438,-0.985219,0.462727,0.462724,0.806404,0.257774,0.016834,-0.509712,1.386368,0.211332,-0.444388,-1.00697,1.00697,-0.775865,-1.016526,-0.886264,-0.820025,1.522638,0.827354,-1.25643,-1.306792,1.711704,1.788805,0.889542,-1.679802,-6.019427,1.455624,3
-1.172888,-1.007974,-0.800669,-0.800666,0.404497,0.250318,0.031193,0.426128,-1.425934,-0.288364,-0.755364,-1.00697,1.00697,-0.775865,-0.955508,-0.0901,-0.710374,1.265713,0.367344,-1.69562,-1.306792,-2.269068,1.690646,0.833909,-1.616151,-0.382252,1.455624,3
-1.199948,-0.891923,-0.541786,-0.541703,3.766916,2.617624,1.079415,4.845559,-2.074927,0.988637,-0.459936,-1.00697,1.00697,-0.775865,-1.026943,0.669424,1.590682,2.201182,-1.702479,-2.518611,0.962991,-2.186806,1.960056,1.808862,-0.110832,0.45309,1.455624,3
-1.195438,-0.907851,0.357342,0.357349,1.061845,0.738692,0.14846,1.163872,-1.60621,-0.177321,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,0.573243,-0.695403,2.146284,-0.162406,-1.811432,-1.306792,1.807184,1.927739,1.096736,-1.607461,-0.352418,1.455624,3
-1.195438,0.266317,-0.610784,-0.610708,4.129704,2.520695,1.079415,5.272007,-2.255203,0.711028,-0.459936,-1.00697,1.00697,-0.775865,-1.016154,3.272414,-1.259844,10.152667,1.20779,-2.665194,-1.306792,2.37735,2.820235,1.75584,-1.935112,0.413543,1.455624,3
-1.07818,-1.014801,-0.407149,-0.407129,0.049859,0.764788,0.241795,0.142036,1.097927,0.266854,-0.786462,-1.00697,1.00697,-0.775865,-0.724458,2.04649,1.496002,0.545446,-1.615305,-1.997178,0.962991,1.233714,1.394959,1.215831,-0.055871,0.750733,1.455624,3
1.298553,1.237963,-0.919832,-0.919846,-0.395824,-0.357352,-0.15787,-0.46399,-0.596666,-0.343886,-0.669846,-1.00697,1.00697,-0.775865,-0.090467,-1.335871,1.260919,-0.493231,1.461712,1.04358,0.962991,0.010886,0.305389,0.083933,0.080826,-0.661856,-0.574134,3
-1.184163,-1.001147,-0.883867,-0.883863,0.517198,0.250318,0.059911,0.547314,-1.317769,-0.177321,-0.770913,-1.00697,1.00697,-0.775865,-0.982668,-0.384749,-0.807482,1.399666,0.567173,-2.012844,-1.306792,1.576569,1.731722,0.833909,-1.672521,-0.402373,1.455624,3
-1.07818,-1.017076,0.434363,0.43437,0.030998,0.533649,0.110169,0.130969,1.206093,0.599984,-0.444388,-1.00697,1.00697,-0.775865,-0.740457,1.638103,1.321612,0.488352,-1.36183,-1.515468,-1.306792,1.213533,1.386654,1.086621,-0.436605,0.901983,1.455624,3
-1.053375,-1.017076,-0.429457,-0.429441,0.01563,0.403168,0.14128,0.098833,1.097927,0.266854,-0.802011,-1.00697,1.00697,-0.775865,-0.66344,1.531998,1.257682,0.352204,-1.368089,-1.55687,0.962991,1.196655,1.286984,1.144863,0.08247,0.777098,1.455624,3
-1.195438,-0.914678,0.010554,0.010562,1.054394,0.619394,0.131707,1.152199,-1.498045,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,0.351874,-0.737079,2.097973,0.084811,-1.794647,-1.306792,1.804706,-1.131967,1.066064,-1.631653,-0.364213,1.455624,3
-0.739935,-0.564248,1.147394,1.147436,1.337778,1.305354,0.423678,1.520254,-1.60621,0.266854,1.608059,-1.00697,1.00697,-0.775865,-0.148881,1.215212,1.334964,0.940715,-1.500415,-1.517147,0.962991,-2.230947,1.706352,1.582744,0.037609,-0.212963,1.455624,3
-1.283382,-0.891923,-0.926419,-0.926367,3.296783,2.584072,0.758726,3.44202,-2.110982,-0.232843,-0.786462,-1.00697,1.00697,-0.575579,-1.223019,0.419812,0.129206,2.88851,-1.485215,-2.662956,-1.306792,2.274199,2.078602,1.551909,-1.128784,-0.643123,1.455624,3
-1.199948,-0.994321,-0.871692,-0.871689,0.542347,0.321151,0.000081,0.577778,-1.67832,-0.177321,-0.770913,-1.00697,1.00697,-0.775865,-1.02099,-0.16109,-0.913087,1.559969,0.47687,-1.248038,-1.306792,1.589787,1.779594,0.833909,-1.733824,-0.388496,1.455624,3
-1.199948,-0.985219,0.45258,0.452588,0.857399,0.459089,0.119741,0.973433,-1.498045,0.266854,-0.459936,-1.00697,1.00697,-0.775865,-1.026943,0.477825,-0.286336,1.557773,0.048153,-1.480221,-1.306792,1.73224,1.797866,1.116313,-1.370001,-0.205332,1.455624,3
-1.195438,-0.907851,0.030833,0.030841,1.101663,0.891541,0.215469,1.190398,-1.5341,-0.343886,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,0.29386,-0.763784,2.146284,-0.462374,-2.351887,-1.306792,1.820639,1.927739,1.066064,-1.647155,-0.411392,1.455624,3
-1.195438,-0.910127,-0.100989,-0.100981,1.192942,0.604482,0.174785,1.283223,-1.750431,-0.288364,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,-0.045063,-0.777945,2.128716,0.158573,-2.148237,-1.306792,1.850027,-1.131212,1.055623,-1.655375,-0.436369,1.455624,3
-1.281127,0.359613,-0.93251,-0.932464,2.908847,2.755561,0.816163,3.073685,-2.074927,-0.343886,-0.786462,-1.00697,1.00697,-0.575579,-1.21781,3.316688,-1.665675,11.766681,1.331175,-2.928148,-1.306792,2.21802,2.89091,1.485999,-2.170693,-0.579293,1.455624,3
-1.190928,-0.967015,-0.014154,-0.014095,2.520446,1.804911,0.634279,3.108144,-1.930707,0.544463,-0.444388,-1.00697,1.00697,-0.775865,-1.006108,0.375538,1.532013,1.617063,-1.604129,-2.011165,0.962991,2.154878,1.815535,1.6635,-0.076775,0.194301,1.455624,3
-1.195438,-0.967015,0.168484,0.168534,2.060558,2.013681,0.801803,2.563123,-1.67832,0.655506,-0.444388,-1.00697,1.00697,-0.775865,-1.016526,0.699194,1.497216,1.647806,-1.68728,-2.63722,-1.306792,2.068368,1.824143,1.592696,-0.334669,0.228991,1.455624,3
-1.199948,-0.919229,0.215382,0.215387,1.093979,0.57093,0.100596,1.192736,-1.461989,-0.343886,-0.802011,-1.00697,1.00697,-0.775865,-1.020246,0.115239,-0.78361,2.102365,0.222948,-1.597152,-1.306792,-2.2385,-1.131967,1.044855,-1.658664,-0.376008,1.455624,3
-1.195438,-0.967015,0.182682,0.182748,2.106663,2.136707,0.775478,2.58002,-1.60621,0.544463,-0.444388,-1.00697,1.00697,-0.775865,-1.016526,1.277043,1.266179,1.647806,-1.737349,-2.186841,0.962991,2.077809,1.824143,1.723538,0.077538,0.149203,1.455624,3
-1.287892,-0.532391,-0.651371,-0.651272,4.45733,3.36696,1.203861,5.736197,-2.183093,0.711028,-0.444388,-1.00697,1.00697,-0.775865,-1.234181,2.562508,-0.00189,5.282081,-1.038169,-2.460425,-1.306792,-2.179017,2.431977,1.894677,-1.204884,0.464885,1.455624,3
-1.195438,-0.889647,-0.190708,-0.190643,2.402622,1.8832,0.691716,2.95669,-2.074927,0.599984,-0.444388,-1.00697,1.00697,-0.775865,-1.016526,1.434291,1.279936,2.181419,-1.3815,-2.06991,-1.306792,2.134106,1.956583,1.694172,-0.460797,0.181118,1.455624,3
-1.195438,-0.955637,-0.697182,-0.697171,1.043682,0.328607,0.064698,1.122705,-1.101438,-0.177321,-0.770913,-1.00697,1.00697,-0.775865,-1.009829,-0.297728,-0.634306,1.801522,0.779967,-1.245241,-1.306792,1.800929,1.845436,1.034088,-1.571994,-0.424574,1.455624,3
-1.199948,-0.910127,0.004467,0.004484,1.148933,0.690227,0.165212,1.236769,-1.5341,-0.177321,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,0.96331,-0.433212,2.161655,-0.034998,-1.495887,-1.306792,1.8361,1.931514,1.207348,-1.455261,-0.430125,1.455624,3
-1.199948,-0.92378,0.643288,0.643291,0.99618,0.563474,0.143673,1.095358,-1.642265,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,0.345768,-0.765807,2.065034,0.211325,-1.969204,-1.306792,1.784288,-1.132722,1.044855,-1.648329,-0.335767,1.455624,3
-1.199948,-0.919229,-0.342909,-0.342846,2.593795,2.308197,0.80659,3.228115,-2.002817,0.599984,-0.475485,-1.00697,1.00697,-0.775865,-1.026571,0.918273,1.389992,2.016724,-1.659116,-2.419583,-1.306792,-2.203566,-1.131967,1.67231,-0.396911,0.244949,1.455624,3
-1.199948,-0.926055,0.408042,0.408044,1.044847,0.675315,0.14128,1.160566,-1.389879,-0.177321,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,-0.023689,-0.827309,2.049663,-0.105184,-2.068791,-1.306792,1.801401,1.905238,1.0119,-1.68403,-0.298995,1.455624,3
-1.199948,-0.912402,0.351257,0.351261,0.999207,0.749876,0.179571,1.077851,-1.570155,-0.621495,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,0.390805,-0.831759,2.146284,-0.186993,-2.249502,-1.306792,1.78535,1.927739,1.034088,-1.686614,-0.410004,1.455624,3
-1.195438,-0.973841,-0.652567,-0.65256,0.886738,0.388256,0.086237,0.956007,-1.425934,-0.232843,-0.802011,-1.00697,1.00697,-0.775865,-1.009085,-0.479403,-0.707137,1.680745,0.354379,-1.777304,-1.306792,-2.245936,1.811156,0.965404,-1.614272,-0.400985,1.455624,3
-1.190928,-0.916953,-0.227238,-0.227169,2.813144,2.546791,0.856847,3.531182,-2.002817,0.544463,-0.459936,-1.00697,1.00697,-0.775865,-1.005736,0.844992,1.713281,1.966217,-1.761936,-2.381539,-1.306792,2.203149,1.905238,-1.559261,-0.209245,0.29629,1.455624,3
-1.001511,-1.028454,-0.63834,-0.638359,-0.392797,-0.267879,-0.143511,-0.448846,1.097927,0.211332,-0.802011,-1.00697,1.00697,-0.775865,-0.537312,1.354903,-0.960832,-0.100159,1.629355,-1.389026,-1.306792,-2.415888,0.9321,-0.106294,-1.761539,0.600177,0.741469,3
-1.287892,-0.894198,-0.746763,-0.746669,5.490506,3.281215,1.184715,7.080445,-2.219148,0.988637,-0.459936,-1.00697,1.00697,-0.775865,-1.234181,0.336607,1.449066,2.796281,-1.715444,-2.528122,-1.306792,2.510951,2.081472,1.861558,-0.362619,0.487781,1.455624,3
-1.195438,-0.910127,0.201187,0.201192,1.175944,0.537377,0.071877,1.282861,-1.570155,-0.343886,-0.786462,-1.00697,1.00697,-0.775865,-1.009457,-0.207654,-0.846326,2.128716,0.361532,-1.382313,-1.306792,1.844716,-1.131212,1.023157,-1.695069,-0.378089,1.455624,3
-1.199948,-0.914678,0.168739,0.168745,1.197832,0.559746,0.119741,1.311943,-1.5341,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,-1.020618,-0.127503,-0.800604,2.128716,0.290899,-1.775066,-1.306792,1.851679,-1.131212,1.044855,-1.668528,-0.363519,1.455624,3
-1.195438,-0.9033,0.136292,0.136296,1.070228,0.634307,0.136494,1.148881,-1.750431,-0.343886,-0.802011,-1.00697,1.00697,-0.775865,-1.009085,0.103025,-0.893261,2.181419,0.124151,-2.033544,-1.306792,1.810017,1.935139,1.0119,-1.722315,-0.434288,1.455624,3
