A1,A2,A3,A4,A5,Class
2.833432,-0.871652,-0.635023,-0.616903,-0.208275,1
-0.432775,1.062931,-1.305457,-0.7486,-0.29431,1
-0.861965,-0.924786,-0.272626,1.977124,2.859163,1
-0.292137,1.636544,0.114685,0.150663,1.914525,1
-0.003585,2.134077,-1.380201,-0.793829,-0.371567,1
-0.824381,-1.107135,-0.109548,1.899968,-0.138041,1
-0.672831,-0.115691,1.209803,-1.211533,-0.54715,1
-0.447324,2.450469,-1.580652,0.033599,-0.138041,1
-0.271526,2.083357,-1.544412,-0.865663,-0.443556,1
-0.83408,-1.138532,-0.308866,-1.705064,-0.138041,1
-0.449749,0.997721,-1.322444,-0.755251,-0.296066,1
1.91322,-1.017772,-0.582928,-0.634196,-0.006354,1
1.503429,0.102886,-1.107271,-0.667453,-0.245147,1
0.394082,1.731944,-1.336034,-0.761902,-0.320648,1
-0.214543,0.984437,-1.340564,-0.771214,-0.320648,1
0.156452,1.378116,-1.315649,0.028278,1.839025,1
-0.65222,1.192145,-0.132197,-0.191216,0.355347,1
-0.230304,1.707792,0.275499,0.005663,-0.448823,1
-0.522493,1.579786,-1.351889,-0.876305,-0.361032,1
0.33225,0.426524,-1.280542,0.173278,0.759188,1
0.802661,0.402372,-1.237507,-1.042589,2.28325,1
2.497597,-1.108342,-0.555749,-0.333555,-0.271485,1
0.441366,0.722387,-1.165028,-0.682086,0.028763,1
0.218284,1.311698,-1.399453,1.334603,-0.824571,1
-1.180827,0.463959,0.657148,0.294332,0.515128,1
-0.214543,1.800778,0.09883,-0.102088,0.192055,1
-0.615848,0.162058,1.934596,-1.416395,-0.138041,1
-0.643733,-0.014252,2.374002,-1.746302,-0.780676,1
-0.638883,1.120896,1.461216,0.38213,-0.138041,1
2.843132,-1.837735,-0.977035,-0.438647,-0.238124,1
0.579579,0.258667,-1.160498,-0.102088,-0.138041,1
-0.756486,0.247798,1.02181,0.419377,-1.238948,1
-0.897125,-1.070906,-0.491197,0.108094,0.911946,1
-0.804982,-0.298039,1.714893,-1.524147,-0.138041,1
-0.146649,0.744124,-1.263555,-0.300299,-0.280264,1
-0.757699,0.003862,1.081832,0.472588,-0.138041,1
-0.321234,1.612392,0.129408,-1.212864,1.977735,1
-0.77346,-0.940485,-1.830932,1.205567,-1.091458,1
1.547075,-0.723116,-0.967975,-0.439977,-0.208275,1
-0.175746,1.911878,-1.299794,-0.744609,-0.361032,1
2.992257,-0.692926,-0.552351,0.62823,-0.490963,1
0.99422,0.648723,-1.25676,0.009654,1.665197,1
-0.698291,-0.172448,1.141853,-1.29534,-0.138041,1
1.417348,-0.348759,-0.657673,-0.342867,0.086705,1
-0.307898,2.519303,-1.552339,0.468597,-0.612116,1
0.061884,0.654761,0.216609,-0.864333,-0.411951,1
1.671953,-0.901842,-0.742609,-0.40406,-0.222321,1
0.127354,1.298414,-1.408513,-0.763233,-0.329427,1
-0.79892,-0.285963,1.323052,-1.361854,-0.596313,1
-0.710415,0.253836,1.469143,0.815798,1.817955,1
2.07447,-1.77494,-0.62483,-0.328234,-0.23988,1
0.196461,1.146256,-0.182027,1.46497,-0.908851,1
1.354304,-0.496086,-0.636155,-0.325574,0.058612,1
-0.533405,-0.420007,1.996883,-1.307313,0.771479,1
-0.523705,1.149879,-0.13786,-0.104749,-0.376834,1
-0.76861,-0.194185,1.948186,-1.458964,-0.822816,1
3.075913,-1.954873,-1.015539,-0.643508,-0.264461,1
-0.917736,-1.14457,-0.39267,-1.240799,-0.138041,1
-0.806195,-0.87769,0.187165,1.688455,-1.089702,1
-0.737088,0.258667,1.215465,0.419377,-0.138041,1
0.077645,1.154709,-1.377936,-0.082134,-0.515545,1
0.505623,0.822618,-1.269217,-0.765893,-0.325915,1
-0.475209,-2.782082,-2.099332,-1.121075,-0.640209,1
-0.715265,1.122104,0.094301,0.162635,-0.559441,1
-0.695866,-0.833008,-0.349635,0.761257,1.719628,1
1.526464,-0.197808,-1.030262,-0.40539,0.009448,1
-1.191738,0.279196,1.320787,0.399423,-0.138041,1
-0.638883,-0.27751,1.837202,-1.412404,-0.756094,1
-1.04625,-0.876482,0.633366,1.617951,-0.138041,1
-0.503095,0.928887,-1.271482,-0.764563,-0.306601,1
-0.892275,-1.179591,-0.585193,0.004333,-0.138041,1
0.711731,1.200598,-1.471933,-0.79782,0.037542,1
-0.345482,1.919123,-1.616891,-0.816443,-0.345229,1
3.194728,-0.765382,0.241524,-0.843049,-0.296066,1
0.114018,1.774211,-1.312252,0.124058,1.066459,1
0.432879,1.201806,-1.254495,-0.229794,0.135868,1
0.178275,1.236826,-0.167305,1.406438,-0.894805,1
0.155239,-0.174864,-0.488932,-0.664793,-0.011621,1
-0.791646,-1.08902,-0.261301,-0.956122,-0.138041,1
0.202523,1.149879,1.308329,-1.175616,-0.138041,1
1.571323,-1.011734,-0.691647,-0.369473,-0.39966,1
-0.796495,-0.846292,-0.16957,2.591708,-1.502322,1
0.800236,-0.458651,-0.519509,-0.253739,-0.303089,1
0.790537,0.102886,-0.363225,-0.324243,-0.534859,1
-0.665556,0.660799,0.431782,0.046902,-0.448823,1
0.658385,0.049751,-0.315661,-0.018281,-0.622651,1
0.629288,0.35769,-0.304336,0.155984,1.684511,1
0.922689,0.459129,-0.063116,-0.15796,0.48879,1
1.36279,-0.298039,-0.653143,-0.329565,0.100752,1
-0.580688,-0.605979,1.80889,0.661487,0.766212,1
-0.910461,-1.191667,-0.333781,1.180292,-0.138041,1
0.669297,0.220023,-1.191075,-0.30828,-0.438288,1
-0.156348,2.007278,-1.509305,-0.825755,-0.382102,1
-0.830443,-0.697757,0.977642,0.813137,0.845224,1
-0.464298,-0.778666,0.225669,2.539828,-1.837686,1
-0.172109,0.711518,-1.351889,-0.092776,-0.764873,1
-0.296986,1.558049,-1.5161,-0.173923,0.264044,1
-0.819531,-0.33789,1.336642,-1.34456,-0.596313,1
-0.715265,0.590758,-0.148052,-0.185895,-0.138041,1
0.677784,-0.206261,-0.317926,-0.698049,0.264044,1
-0.307898,0.864884,-1.482125,-0.881627,-0.557685,1
0.061884,1.340681,-1.400586,-0.793829,-0.361032,1
-0.569777,-0.013045,1.653739,-1.461624,0.722316,1
2.22602,-0.823347,-0.627095,0.58034,-0.794722,1
1.663466,-0.991204,-0.69731,-0.365482,-0.410195,1
0.997858,-0.07584,-0.391538,-0.727315,-0.868467,1
-0.058143,1.601523,-1.631614,0.03626,-0.664791,1
0.451065,0.944586,-1.281674,-0.215161,0.241218,1
-0.083604,0.978399,-1.330372,-0.787177,-0.138041,1
-0.265464,-0.56492,1.405724,0.444653,0.472988,1
-0.19757,0.249006,1.133926,0.386121,-0.582267,1
0.132204,0.733255,0.298149,-0.905571,-0.376834,1
1.233063,-0.403101,-0.482137,-0.271033,-0.37859,1
1.651342,0.29731,0.14413,0.398093,-0.496231,1
-0.600087,0.020768,-0.243181,-0.027593,0.537954,1
-0.666769,-0.155542,1.635619,-1.576027,-0.705175,1
-0.423076,2.083357,-1.471933,0.815798,-0.754338,1
-0.098153,0.759823,-0.355298,-0.183235,-0.596313,1
1.930194,0.041298,-0.576133,-0.229794,-0.318892,1
-0.457023,1.580994,0.097698,0.093461,-0.620895,1
-0.185445,0.631816,-1.285072,-0.712682,-0.276752,1
0.264355,1.384154,-1.282807,-0.743278,-0.31538,1
0.577155,-0.195393,-1.74826,-1.323276,-0.692884,1
0.349223,0.512264,0.280029,0.162635,0.416801,1
-0.769823,-0.01546,1.116939,-1.19424,-0.506766,1
-0.532192,0.393918,-0.136727,-0.855021,-0.362788,1
2.051434,-0.125352,-1.138981,-0.646169,-0.138041,1
0.251019,1.118481,-1.476463,-0.2564,0.304428,1
-0.734663,-0.273887,1.682051,-1.429698,-0.138041,1
-0.075117,0.201909,-0.193352,-0.221813,0.248242,1
0.774776,-0.683265,-1.012142,-0.35617,0.069147,1
-0.634034,-0.145881,1.985558,-1.826118,-0.138041,1
3.245649,-1.849812,-0.662203,-0.384106,-0.243391,1
-0.570989,-0.946523,0.235862,2.521204,-1.827151,1
-0.897125,-1.189252,-0.409657,1.008687,2.73801,1
0.086132,2.213779,-1.47533,0.024287,0.453674,1
-0.704353,-0.971883,0.933475,1.304007,1.076994,1
-0.522493,-0.487633,2.002546,-1.376487,-1.096725,1
-0.543104,-0.044442,1.015015,0.327589,-0.138041,1
-0.613423,1.035156,0.825889,0.445983,0.420313,1
-0.624335,2.497566,-1.571592,-0.884287,-0.425998,1
-0.766185,0.105301,1.162238,0.372818,-0.138041,1
-0.153923,1.431251,-1.465138,-0.795159,-0.138041,1
-0.452174,-0.271472,1.942524,0.685431,-0.805257,1
-0.789221,-0.182109,1.065977,-1.172956,-0.490963,1
-0.115126,2.595382,-1.374539,-0.816443,0.158694,1
0.106743,0.50381,-0.167305,-0.268372,-0.366299,1
-0.837717,-0.996035,-0.289613,2.184646,-0.138041,1
0.106743,0.334746,-1.283939,-0.682086,-0.138041,1
-0.549166,0.284026,0.547296,-1.079837,-0.457603,1
2.142364,-0.778666,-0.650878,-0.314932,0.039298,1
2.921938,-1.035886,-0.355298,0.423368,-0.648988,1
-0.653432,0.933718,-0.300938,-0.148648,-0.35752,1
-0.609786,-0.631338,0.961788,1.144375,1.726651,1
1.954442,-1.184421,-0.750537,-0.420023,0.01296,1
-0.008435,-0.599941,1.672991,-1.584009,0.57307,1
1.924132,-1.785808,-0.621433,-0.267042,-0.253926,1
1.063327,0.734463,-1.171823,-0.345528,0.13938,1
-0.505519,1.478347,-1.552339,-0.84837,0.218392,1
2.919513,-0.890973,-1.009877,-0.636857,-0.206519,1
-0.099365,2.317633,-1.705226,0.050893,0.188543,1
-0.466722,-0.709833,1.283415,0.82644,0.471232,1
2.573979,-0.880105,-0.984962,-0.422683,-0.21003,1
-0.758911,-0.119314,1.02181,-1.320616,-0.138041,1
-0.880151,-1.180798,-0.445897,0.056214,-0.138041,1
0.208585,-0.267849,0.059193,-0.120712,0.295649,1
-0.718902,0.672875,-1.297529,-0.095437,-0.346985,1
-1.231747,0.861261,-0.047261,0.104103,-0.138041,1
-0.853478,-1.067284,-0.315661,1.786895,-0.138041,1
-0.729813,-0.797988,1.645811,-1.336579,0.439627,1
0.259506,0.607664,-1.158233,-0.716673,-0.285531,1
-0.069055,2.125624,-1.411911,-0.788508,0.190299,1
-0.898337,-0.901842,-2.287325,1.772262,-0.138041,1
-0.631609,-0.021498,0.328726,-0.94814,-1.23368,1
1.036655,0.61008,0.679798,-0.84704,-0.345229,1
1.251249,-1.219442,-0.94759,-0.401399,-0.267973,1
-0.689804,1.730737,-1.544412,0.299653,2.141028,1
-0.317597,0.943379,0.204152,-1.210203,2.939931,1
0.836608,0.360105,-0.320191,-0.153969,-0.434777,1
-0.885001,-0.776251,0.777192,1.556758,-0.138041,1
-0.695866,-0.935655,1.388736,0.638872,0.929504,1
0.185549,0.29731,-1.128788,-0.664793,0.039298,1
-0.821956,-1.180798,-0.348503,0.869009,2.787173,1
-1.282668,-2.471728,-1.451548,-0.912223,-0.404928,1
-0.090878,0.29731,0.163382,0.050893,0.267556,1
2.420004,-0.639791,-1.032527,-0.237776,-0.292554,1
0.097044,1.140218,-1.309987,-0.79915,0.300916,1
-1.774903,0.618533,-1.311119,-0.789838,-0.355764,1
-0.704353,0.852808,-0.052923,-0.031584,-0.138041,1
0.224346,0.924057,-0.179762,1.07254,-0.835106,1
-0.537042,0.000239,1.654871,-1.325937,-0.138041,1
0.517747,-0.15675,1.358159,0.226488,0.372906,1
0.474101,1.376909,-1.424368,-0.147318,-0.401416,1
-0.704353,-0.352382,-1.248832,-1.019975,0.601164,1
2.609138,-0.940485,0.532574,-0.909562,-0.338206,1
0.961486,1.2803,-1.302059,-0.237776,0.149915,1
0.374684,0.085979,-1.195605,-0.682086,-0.138041,1
-0.518856,0.607664,1.013882,-1.126396,-0.138041,1
-0.811044,-0.145881,0.951595,-1.137038,-0.138041,1
1.949592,-1.214611,-0.283951,1.12176,-0.828083,1
2.224807,-0.119314,-0.417585,-0.006309,0.24473,1
3.20079,-0.68085,-1.003082,-0.638187,-0.041471,1
-0.700716,0.754992,-0.311131,-0.168602,-0.318892,1
-0.597662,1.050855,-1.474198,-0.06085,-0.138041,1
1.18093,0.620948,-0.025743,0.857036,-0.706931,1
-0.716477,-0.964637,0.977642,1.174971,1.11211,1
-0.832868,0.398749,0.280029,0.3808,-0.138041,1
0.064309,1.095537,-0.189954,-0.860342,2.270959,1
1.294896,1.529067,-1.231845,-0.728645,-0.331183,1
-0.629184,0.460337,2.115795,-1.588,-0.138041,1
-0.121188,2.782561,-1.673516,-0.079474,-0.385614,1
-0.779522,0.449468,-0.09709,-0.071492,-0.138041,1
1.876848,-1.178383,-0.687117,-0.322913,-0.243391,1
-0.800133,-0.391025,1.608439,-1.848733,-0.889537,1
-0.095728,2.632818,-1.416441,-0.89759,0.360615,1
-0.735875,-0.034781,1.280017,-1.276717,-0.138041,1
0.779626,0.084771,-0.501389,-0.662132,0.058612,1
0.396507,0.892659,-0.141257,-0.781856,-0.450579,1
1.028168,0.015938,-1.137848,-0.25906,0.148159,1
2.337561,-0.62047,-1.000817,-0.618233,-0.05025,1
3.250498,0.259874,-1.072164,-0.590297,-0.194228,1
-0.705565,0.256251,1.440831,0.781211,1.965444,1
-0.30911,2.214986,0.505394,0.307635,-0.554173,1
2.738865,-1.110757,-0.640685,-0.249748,-0.29431,1
-0.534617,0.577474,0.354773,-1.122405,-0.138041,1
-0.136949,1.315321,0.910826,-1.033277,-0.4418,1
0.706881,1.752474,0.043338,-0.816443,-0.373323,1
1.635581,0.335953,0.087506,0.412726,-0.480428,1
-0.853478,-0.76176,-0.273759,0.426029,1.145471,1
0.128566,1.260979,-1.328107,-0.721994,-0.285531,1
2.80191,-0.8475,-1.017804,-0.289656,-0.25217,1
3.26141,-0.85233,-0.560279,0.277039,-0.42073,1
-0.307898,0.839524,0.281161,-1.222176,3.164677,1
0.195248,-2.350968,-1.323577,-2.259786,-1.605916,1
2.674608,-1.849812,-0.673527,-0.171262,-0.304845,1
-0.203632,1.531482,0.15772,-0.083465,-0.138041,1
3.20079,-0.9429,-1.018937,-0.386766,-0.00811,1
1.686501,0.701858,-0.427777,0.735982,-0.56822,1
-0.583113,-0.992412,1.068242,1.164329,1.589697,1
1.509491,-0.726739,-0.991757,-0.388096,-0.00811,1
-0.642521,-0.515408,1.132794,0.58034,0.72056,1
-0.635246,-0.114483,2.33663,-1.411074,-0.138041,1
0.609889,-0.127767,-0.409657,-0.036905,-0.831595,1
-0.634034,0.93251,0.783987,0.449974,-0.69464,1
-0.886213,-1.192874,-0.481004,0.074838,-0.138041,1
-0.86439,-0.593902,1.166768,0.589652,0.592384,1
2.166612,-0.025121,-0.443632,0.625569,-0.506766,1
-0.461873,-0.986374,0.452167,1.008687,1.289449,1
-0.212118,0.716349,-1.437958,-0.247088,-0.339962,1
-0.528555,1.137803,1.048989,0.452634,-0.747315,1
1.685289,0.066657,-0.364358,0.173278,1.170053,1
-0.387916,2.08215,-1.624819,-0.003648,-0.415463,1
-0.802558,-0.701379,0.907428,0.9741,-0.138041,1
0.596553,0.990475,-1.356419,-0.263051,-0.580511,1
-0.649795,-0.209884,2.191671,-1.532129,-0.849153,1
1.634368,-1.143363,-0.953252,-0.431995,-0.320648,1
-0.68253,-1.121626,-0.163907,2.515883,-1.430333,1
-0.657069,0.089602,1.657136,-1.24346,0.829422,1
-0.841354,-0.499709,1.135059,-1.510844,-0.138041,1
-0.12725,1.689678,-1.394923,-0.203189,-0.417219,1
0.259506,1.484385,-1.422103,-0.15796,0.927748,1
-0.706778,-0.113276,1.520105,-1.752953,-1.040539,1
-0.463085,1.981919,-1.52063,1.025981,-0.814036,1
0.613527,-0.063764,-1.201268,-0.658141,-0.006354,1
0.60019,1.050855,-1.365479,0.046902,1.651151,1
-0.651007,0.579889,0.068253,-0.092776,0.144647,1
-0.55644,1.270639,-1.403983,-0.914883,-0.396149,1
1.259736,-0.604771,-0.713165,-0.345528,-0.448823,1
0.217072,1.298414,-1.394923,-0.827085,-0.37859,1
-0.413377,1.032741,-1.384731,-0.784517,-0.341718,1
2.495173,-0.892181,-1.012142,-0.3575,-0.238124,1
0.30194,0.41324,-1.186545,-0.706031,-0.253926,1
-0.482484,-0.246112,1.744338,-1.258093,0.465965,1
0.447428,1.770588,-1.398321,-0.777865,0.546733,1
0.141903,1.110028,1.112409,-1.019975,-0.392637,1
-0.737088,0.38788,0.38082,0.132039,-0.138041,1
2.049009,-0.979128,1.036532,-1.04525,-0.394393,1
1.998088,-0.025121,-1.177485,-0.332225,0.353591,1
-0.661919,-0.276302,0.849671,0.523138,0.583605,1
-0.233942,1.664319,-1.340564,-0.179244,-0.624407,1
1.807741,-1.127664,-0.435705,-0.643508,-0.013377,1
-1.155366,-0.243697,1.828142,-1.623917,-0.138041,1
-1.367536,-0.424838,1.354762,-1.407083,-0.789455,1
1.824715,-0.735192,-0.99289,-0.35617,-0.229345,1
-0.529767,-0.342721,1.429506,0.829101,0.787282,1
-0.179383,1.153502,-1.425501,-0.821764,-0.138041,1
2.627324,-0.532315,-1.011009,-0.40539,-0.023912,1
-0.242428,0.526755,-1.521762,-0.840388,-0.424242,1
-0.77346,-0.905465,-0.016683,2.090196,-0.138041,1
-0.488546,-1.038301,0.190562,0.943504,1.222728,1
-0.025409,2.268121,-1.548942,0.194562,0.299161,1
-0.289712,-0.276302,1.54955,-1.050571,0.811863,1
-0.207269,1.473517,0.338918,-0.952131,-0.138041,1
-0.733451,0.061827,1.163371,-1.324606,-0.566464,1
-0.666769,0.111339,1.434036,-1.381808,-0.138041,1
2.934062,-0.735192,-1.023467,-0.619563,-0.036203,1
-0.71284,0.052166,0.66734,-1.160983,-0.557685,1
-0.396403,0.631816,0.538236,0.065526,0.199078,1
-0.521281,1.459026,0.034279,0.38479,1.968956,1
2.921938,-0.682058,-0.560279,-0.873645,0.927748,1
0.988158,-0.924786,-0.730152,-0.368142,-0.4418,1
-0.618273,0.247798,1.277752,-1.263414,-0.138041,1
0.72143,0.525547,-0.157112,-0.789838,-0.343474,1
-0.507944,-0.378949,1.627692,-1.271396,-0.675326,1
-0.501882,-0.127767,1.776048,-1.557404,-0.138041,1
2.400605,0.019561,-1.141246,0.43401,-0.552418,1
-0.370943,1.181277,1.430638,-1.190249,-0.575243,1
-0.603724,1.339473,-1.496847,-0.925525,-0.601581,1
-0.878939,-0.401893,0.9448,-1.279377,-0.67357,1
2.565492,-1.801507,-0.989492,-0.428004,-0.027424,1
-0.44005,0.306971,1.632222,-1.255432,-0.138041,1
0.14069,1.705377,-1.551207,-0.784517,1.254333,1
-0.699503,-0.849915,1.270957,1.584694,-1.142377,1
0.436516,0.083564,-1.127656,-0.65415,-0.250415,1
2.393331,-0.854745,-0.212604,0.38213,0.564291,1
-0.53098,0.949417,-1.212593,-0.747269,-0.297822,1
2.240569,-1.121626,-0.65201,-0.229794,-0.278508,1
-0.360031,-0.113276,1.506515,-1.282038,-0.559441,1
-0.86439,-0.785912,0.070518,2.859092,-2.069456,1
1.474331,-0.032366,-1.097079,-0.393417,-0.248659,1
-1.16749,0.04009,2.084085,-1.629238,-0.970305,1
0.993008,0.55936,0.842876,-0.980067,-0.418974,1
-0.10179,1.45178,0.876851,-1.078506,-0.503254,1
0.055822,-0.113276,0.594861,-1.055892,-0.524324,1
-0.670406,0.73084,0.067121,0.003003,-0.443556,1
-0.49097,1.346719,0.199622,0.149333,-0.591046,1
3.210489,-1.905361,-0.403995,0.008324,-0.332939,1
-0.732238,-0.810064,-0.184292,0.374148,-0.138041,1
-0.77346,0.633024,1.458951,-1.409744,-0.576999,1
-0.794071,-0.667566,0.404603,2.044967,-1.216122,1
1.258524,-0.219545,0.357038,-0.914883,0.20259,1
-0.100577,1.740398,-1.416441,-0.191216,-0.524324,1
1.521615,-0.132597,-0.307733,-0.079474,-0.373323,1
2.042947,-0.96343,-0.628228,-0.304289,-0.253926,1
0.805086,0.651138,-0.111813,0.694743,1.103331,1
-0.557653,-0.836631,0.67187,0.426029,1.333345,1
-0.646158,-0.793157,1.589187,1.079191,0.832933,1
1.798042,-0.772628,-0.971372,-0.416032,-0.046738,1
-0.65222,0.313009,2.620885,-1.718366,-0.773652,1
-0.631609,0.733255,0.215477,2.386847,-1.172226,1
-0.71284,-0.010629,1.326449,-1.235478,-1.010689,1
-0.159985,1.30566,-0.140125,0.006994,-0.850909,1
1.590722,-0.88252,-0.717695,-0.434656,-0.032691,1
-0.658282,-0.428461,1.438566,1.590015,-0.138041,1
0.305577,-0.387402,0.004834,-0.070162,0.248242,1
1.641643,0.046128,-0.41532,-0.348188,-0.31538,1
1.24155,-0.284756,-0.448162,-0.25906,-0.37859,1
-0.469147,1.032741,-1.348491,-0.232455,0.107775,1
2.420004,-0.325814,-0.316793,0.18392,0.578338,1
1.567686,0.114962,-1.074429,-0.659471,-0.002842,1
1.39795,1.619637,-1.331504,-0.127363,0.213125,1
-0.737088,-0.231621,1.105614,-1.280708,-0.138041,1
-0.846204,-1.127664,-0.494594,0.632221,3.326214,1
-0.643733,0.398749,2.487251,-1.678458,-0.138041,1
-0.755274,-0.886143,-0.1288,0.915568,4.34284,1
-0.612211,1.204221,0.306076,0.219837,0.339545,1
-0.118763,-0.913918,0.120348,2.15937,-1.126574,1
2.410305,-0.583034,-0.535364,-0.276354,0.84698,1
1.068177,-0.526277,-1.329239,1.903959,-0.912363,1
-0.691017,0.067865,0.464625,0.230479,-0.138041,1
0.026725,1.105198,-1.418706,-0.2564,-0.138041,1
-0.366093,1.622052,0.354773,0.179929,-0.448823,1
-0.084816,1.556842,-0.251109,1.26942,-0.719221,1
2.393331,-1.175968,0.586934,-0.94814,0.381685,1
-0.847416,-0.651868,-2.07102,2.172673,-1.927233,1
0.527446,1.553219,-1.364346,-0.228464,0.151671,1
-1.260845,2.122001,-1.569327,-0.969424,-0.438288,1
-0.837717,-1.050377,-0.281686,0.865018,-0.138041,1
2.823733,-0.753306,-1.013274,-0.40539,-0.2311,1
1.235488,-0.816102,-0.96118,-0.409381,-0.02918,1
-0.817106,-1.056415,-0.309998,2.316342,-1.602405,1
-0.449749,0.924057,0.152057,-0.091446,-0.138041,1
-0.623122,0.450676,-1.248832,-0.704701,-0.292554,1
1.993239,-0.289586,-1.032527,-0.380115,0.002425,1
-0.386704,1.193353,-1.396056,-0.764563,-0.311869,1
